year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,fips,hawaiian_loan_average_app,hawaiian_income_average_app,hawaiian_count_app,hawaiian_value_app,fips,not_applicable_loan_average_app,not_applicable_income_average_app,not_applicable_count_app,not_applicable_value_app,fips,native_loan_average_app,native_income_average_app,native_count_app,native_value_app,fips,white_loan_average_app,white_income_average_app,white_count_app,white_value_app,fips,not_provided_loan_average_app,not_provided_income_average_app,not_provided_count_app,not_provided_value_app,fips,black_loan_average_app,black_income_average_app,black_count_app,black_value_app,fips,no_co_app_loan_average_app,no_co_app_income_average_app,no_co_app_count_app,no_co_app_value_app,fips,asian_loan_average_app,asian_income_average_app,asian_count_app,asian_value_app
2011,29,125,101.22,65.42,226,22876,29125,29145,43.5,33.0,2.0,87.0,34009,269.54,182.8,316.0,85175.0,13141,85.0,31.0,1.0,85.0,13253,96.54,80.03,149.0,14385.0,34009,318.55,218.0,1233.0,392767.0,13141,68.56,40.81,27.0,1851.0,,,,,,27113,120.0,233.5,4.0,480.0
2011,21,085,101.13,76.9,622,62902,21085,39063,99.33,81.0,3.0,298.0,28047,136.62,106.68,37.0,5055.0,39091,64.06,93.5,16.0,1025.0,17181,108.03,90.8,154.0,16637.0,28047,139.37,97.31,289.0,40278.0,39091,72.6,53.6,5.0,363.0,,,,,,01015,240.46,158.54,13.0,3126.0
2011,20,205,82.64,70.53,72,5950,20205,49005,133.44,50.78,18.0,2402.0,05141,152.0,90.4,5.0,760.0,39059,35.6,116.2,5.0,178.0,20095,97.9,90.1,144.0,14098.0,48343,129.56,84.5,18.0,2332.0,39059,34.0,29.0,1.0,34.0,,,,,,06105,86.0,149.5,2.0,172.0
2011,44,007,179.4,100.42,13643,2447513,44007,13207,337.0,36.0,1.0,337.0,48343,85.0,79.25,4.0,340.0,48297,32.0,125.0,1.0,32.0,31177,171.69,106.34,701.0,120352.0,05141,107.25,69.25,24.0,2574.0,47151,27.0,32.0,1.0,27.0,,,,,,17181,65.0,150.0,1.0,65.0
2011,17,097,271.44,161.4,31521,8555971,17097,34009,249.71,116.43,7.0,1748.0,47181,72.2,82.8,5.0,361.0,47151,53.0,43.5,2.0,106.0,29199,86.28,67.12,25.0,2157.0,47181,106.71,62.06,17.0,1814.0,23027,160.0,31.0,2.0,320.0,,,,,,31055,171.84,127.04,308.0,52927.0
2011,26,153,115.83,90.14,192,22239,26153,28047,134.67,80.33,3.0,404.0,30073,118.0,62.56,9.0,1062.0,30027,90.0,61.0,1.0,90.0,45007,153.17,89.16,3557.0,544826.0,30073,108.25,63.75,4.0,433.0,20053,43.0,95.0,1.0,43.0,,,,,,51670,96.5,27.0,2.0,193.0
2011,37,045,117.06,71.6,2248,263145,37045,18089,156.05,98.75,20.0,3121.0,48153,116.0,157.5,2.0,232.0,23027,45.0,50.0,1.0,45.0,48125,71.17,62.58,12.0,854.0,28087,118.25,79.02,60.0,7095.0,28003,50.33,50.58,40.0,2013.0,,,,,,21209,188.92,115.62,13.0,2456.0
2011,29,141,139.38,121.48,728,101470,29141,48343,125.0,34.0,1.0,125.0,28087,163.24,117.4,25.0,4081.0,49007,120.0,36.0,1.0,120.0,37193,128.47,76.45,1244.0,159817.0,19097,82.81,74.42,31.0,2567.0,13253,55.81,40.31,32.0,1786.0,,,,,,48467,37.75,60.0,4.0,151.0
2011,48,091,204.66,125.43,5211,1066478,48091,47181,171.0,543.0,1.0,171.0,19097,116.33,63.33,3.0,349.0,27113,152.0,147.0,1.0,152.0,27081,137.75,96.78,60.0,8265.0,17155,118.75,76.75,4.0,475.0,01015,87.52,63.12,158.0,13828.0,,,,,,55111,152.25,110.13,8.0,1218.0
2011,13,211,177.16,98.09,532,94249,13211,19097,66.25,70.0,4.0,265.0,17155,33.0,32.0,1.0,33.0,18131,163.0,170.0,1.0,163.0,48369,94.89,76.32,62.0,5883.0,45073,320.15,209.72,193.0,61788.0,72017,61.29,43.57,7.0,429.0,,,,,,45007,215.94,103.13,48.0,10365.0
2011,09,011,198.95,115.48,8068,1605109,09011,45073,87.0,94.0,1.0,87.0,45073,247.41,143.0,71.0,17566.0,28003,97.0,36.0,1.0,97.0,51035,114.93,72.69,536.0,61601.0,36101,117.66,93.31,255.0,30003.0,72143,110.1,30.9,10.0,1101.0,,,,,,37193,301.29,98.0,7.0,2109.0
2011,45,077,158.38,101.94,2725,431596,45077,36101,77.0,26.0,1.0,77.0,36101,130.64,93.29,14.0,1829.0,01015,56.71,58.14,7.0,397.0,47033,91.65,81.98,165.0,15123.0,28035,127.29,77.23,62.0,7892.0,50009,56.0,35.0,1.0,56.0,,,,,,27081,91.0,238.0,1.0,91.0
2011,05,115,105.29,78.18,1169,123087,05115,08083,229.5,121.0,2.0,459.0,28035,162.0,91.47,17.0,2754.0,13253,79.0,120.5,2.0,158.0,29143,83.44,62.99,163.0,13601.0,37143,200.85,92.98,60.0,12051.0,17181,36.0,73.0,1.0,36.0,,,,,,01005,39.0,37.67,3.0,117.0
2011,26,049,117.26,87.36,6692,784697,26049,48309,131.33,79.78,9.0,1182.0,37143,261.6,96.9,10.0,2616.0,06105,201.33,76.0,3.0,604.0,26089,234.89,163.36,867.0,203649.0,31027,92.4,69.2,5.0,462.0,31055,105.38,74.24,432.0,45525.0,,,,,,42125,220.04,137.63,79.0,17383.0
2011,47,137,118.36,87.35,103,12191,47137,39091,97.0,88.0,1.0,97.0,31027,54.0,63.5,2.0,108.0,17181,51.0,34.0,1.0,51.0,48275,54.88,67.03,34.0,1866.0,13141,150.04,90.22,23.0,3451.0,51670,79.41,74.86,44.0,3494.0,,,,,,55135,205.0,133.0,1.0,205.0
2011,02,188,129.54,112.5,24,3109,02188,45027,365.0,240.0,1.0,365.0,13141,165.0,47.0,1.0,165.0,31055,125.11,97.43,46.0,5755.0,35051,121.67,81.26,221.0,26888.0,39091,122.51,108.06,68.0,8331.0,48467,102.78,47.44,9.0,925.0,,,,,,13175,116.4,47.8,5.0,582.0
2011,51,595,119.43,99.87,53,6330,51595,30027,183.0,58.0,1.0,183.0,39091,133.96,100.56,27.0,3617.0,51670,55.0,18.0,1.0,55.0,48195,79.96,76.31,48.0,3838.0,39059,82.23,66.35,40.0,3289.0,21209,152.89,78.31,35.0,5351.0,,,,,,36123,269.0,428.5,2.0,538.0
2011,29,061,151.53,119.35,153,23184,29061,46099,135.82,85.18,11.0,1494.0,39059,91.75,72.75,4.0,367.0,20095,65.0,66.0,1.0,65.0,36061,634.54,387.52,18233.0,11569517.0,48297,82.48,64.65,23.0,1897.0,47027,65.67,78.33,3.0,197.0,,,,,,39021,91.0,46.0,1.0,91.0
2011,28,077,71.68,59.83,275,19712,28077,49007,180.0,58.0,1.0,180.0,48297,125.33,56.67,3.0,376.0,21209,159.17,162.83,6.0,955.0,27079,155.09,87.99,779.0,120819.0,47151,72.48,35.85,60.0,4349.0,31177,216.67,96.0,6.0,1300.0,,,,,,51135,160.0,96.0,2.0,320.0
2011,21,233,75.4,71.97,285,21490,21233,72143,299.0,86.0,1.0,299.0,47151,267.67,91.0,3.0,803.0,48467,216.5,113.0,2.0,433.0,72131,104.41,47.84,220.0,22970.0,30027,200.43,87.36,14.0,2806.0,55111,99.6,73.8,5.0,498.0,,,,,,17121,143.0,167.0,1.0,143.0
2011,72,083,98.45,30.85,20,1969,72083,13253,17.0,20.0,1.0,17.0,30027,109.4,58.2,5.0,547.0,31177,116.67,132.0,3.0,350.0,37129,214.17,136.43,7045.0,1508796.0,35021,60.0,144.0,1.0,60.0,45007,114.27,63.75,228.0,26053.0,,,,,,10NA ,100.0,12.0,1.0,100.0
2011,23,015,198.58,120.55,1060,210496,23015,36065,111.33,63.0,3.0,334.0,23027,178.67,123.0,9.0,1608.0,47027,55.0,34.0,1.0,55.0,26013,95.65,63.46,99.0,9469.0,23027,173.67,125.2,103.0,17888.0,37193,85.18,42.68,22.0,1874.0,,,,,,48275,114.0,65.0,1.0,114.0
2011,39,079,94.15,64.69,524,49334,39079,01015,67.0,82.0,2.0,134.0,49007,132.3,120.2,10.0,1323.0,29199,44.0,75.0,1.0,44.0,39143,99.21,67.24,1055.0,104664.0,49007,100.39,70.0,33.0,3313.0,01005,69.52,46.89,66.0,4588.0,,,,,,26089,271.0,134.0,1.0,271.0
2011,21,101,99.52,78.11,1417,141013,21101,01051,111.5,71.0,2.0,223.0,27113,165.75,122.5,4.0,663.0,55111,208.25,164.5,4.0,833.0,48465,117.43,87.85,467.0,54839.0,20053,35.0,45.0,1.0,35.0,42125,119.8,85.57,46.0,5511.0,,,,,,33003,177.89,123.89,9.0,1601.0
2011,23,027,156.32,129.78,1008,157567,23027,17181,71.0,142.0,1.0,71.0,18131,63.5,156.0,2.0,127.0,45007,60.67,58.56,9.0,546.0,37041,166.28,96.09,264.0,43899.0,27113,103.5,58.19,16.0,1656.0,47033,51.09,53.64,11.0,562.0,,,,,,51073,259.4,174.0,15.0,3891.0
2011,29,009,108.72,78.64,792,86109,29009,31055,135.8,98.05,41.0,5568.0,27159,112.5,57.0,4.0,450.0,37193,149.75,51.0,4.0,599.0,48279,76.33,119.49,102.0,7786.0,27159,126.64,77.57,14.0,1773.0,51035,100.0,57.0,1.0,100.0,,,,,,27135,172.5,65.5,2.0,345.0
2011,30,087,128.59,96.19,109,14016,30087,12105,123.53,95.75,36.0,4447.0,28003,160.33,129.87,15.0,2405.0,27081,32.0,35.0,1.0,32.0,20NA ,158.49,95.72,111.0,17592.0,18131,75.9,62.05,20.0,1518.0,39021,58.33,54.0,3.0,175.0,,,,,,47113,181.38,145.46,24.0,4353.0
