year,state,county,fips,loan_average_orig,income_average_orig,count_orig,value_orig,fips,native_loan_average_orig,native_income_average_orig,native_count_orig,native_value_orig,fips,black_loan_average_orig,black_income_average_orig,black_count_orig,black_value_orig,fips,asian_loan_average_orig,asian_income_average_orig,asian_count_orig,asian_value_orig,fips,white_loan_average_orig,white_income_average_orig,white_count_orig,white_value_orig,fips,hawaiian_loan_average_orig,hawaiian_income_average_orig,hawaiian_count_orig,hawaiian_value_orig,fips,not_applicable_loan_average_orig,not_applicable_income_average_orig,not_applicable_count_orig,not_applicable_value_orig,fips,not_provided_loan_average_orig,not_provided_income_average_orig,not_provided_count_orig,not_provided_value_orig,fips,no_co_app_loan_average_orig,no_co_app_income_average_orig,no_co_app_count_orig,no_co_app_value_orig
2000,45,037,45037,73.75,52.9,379,27952,49023,15.0,60.5,2.0,30.0,13193,43.36,31.59,61.0,2645.0,48465,164.5,108.5,2.0,329.0,15007,198.83,129.29,635.0,126257.0,31051,52.25,32.75,4.0,209.0,20171,47.0,38.6,10.0,470.0,28021,54.0,47.0,1.0,54.0,37003,83.25,60.75,4.0,333.0
2000,48,069,48069,46.07,60.49,45,2073,08NA ,184.0,63.5,2.0,368.0,01003,69.41,47.96,196.0,13604.0,12083,113.61,67.75,36.0,4090.0,48189,61.0,57.06,131.0,7991.0,24033,116.38,59.11,386.0,44923.0,48211,84.33,66.33,6.0,506.0,35013,72.12,65.56,34.0,2452.0,55113,706.0,449.0,1.0,706.0
2000,26,053,26053,60.35,54.43,205,12372,37015,38.0,22.0,1.0,38.0,08NA ,87.4,48.0,5.0,437.0,51127,128.0,46.0,1.0,128.0,48211,50.22,53.44,9.0,452.0,41023,134.0,56.5,2.0,268.0,39143,69.45,52.76,177.0,12293.0,48091,107.41,87.82,17.0,1826.0,06083,464.27,428.87,15.0,6964.0
2000,05,031,05031,81.5,79.58,1975,160957,05051,47.36,35.36,11.0,521.0,37015,47.04,35.55,119.0,5598.0,21067,140.8,82.33,95.0,13376.0,20171,62.05,63.32,22.0,1365.0,06052,164.0,36.0,1.0,164.0,54047,29.26,31.29,38.0,1112.0,17141,124.33,104.0,3.0,373.0,26053,92.0,55.0,1.0,92.0
2000,13,019,13019,51.61,42.95,188,9703,40085,45.0,53.33,3.0,135.0,05051,45.76,56.12,42.0,1922.0,21021,62.0,21.0,1.0,62.0,39143,74.37,50.08,700.0,52060.0,29219,99.13,92.75,8.0,793.0,22043,39.47,39.69,32.0,1263.0,51067,133.0,142.5,4.0,532.0,28049,48.4,416.52,119.0,5760.0
2000,12,083,12083,71.35,55.7,6341,452443,20209,58.77,38.5,22.0,1293.0,40085,51.0,70.5,2.0,102.0,22017,123.09,67.97,35.0,4308.0,22043,52.93,43.7,209.0,11063.0,36051,44.67,37.0,3.0,134.0,32NA ,95.03,71.83,71.0,6747.0,51109,312.0,220.0,1.0,312.0,12109,80.94,128.19,16.0,1295.0
2000,19,177,19177,55.44,41.37,27,1497,48025,59.0,22.0,1.0,59.0,20209,55.04,45.4,571.0,31428.0,35013,77.85,50.08,13.0,1012.0,54047,25.07,33.21,120.0,3008.0,48391,43.33,34.5,6.0,260.0,48465,51.56,54.14,59.0,3042.0,04013,128.54,84.04,1042.0,133942.0,37065,41.5,45.0,2.0,83.0
2000,78,010,78010,210.0,100.0,1,210,39069,2234.25,27.5,4.0,8937.0,48025,37.5,61.0,2.0,75.0,51067,122.0,64.0,1.0,122.0,32NA ,129.91,72.16,350.0,45467.0,22023,63.0,72.0,1.0,63.0,37041,69.95,59.0,37.0,2588.0,37003,57.0,36.5,2.0,114.0,44003,95.14,78.57,7.0,666.0
2000,48,209,48209,105.97,75.05,2609,276487,38105,13.0,20.0,1.0,13.0,19105,98.0,18.0,1.0,98.0,48091,76.0,84.25,4.0,304.0,48465,62.97,78.1,71.0,4471.0,21047,39.4,36.8,5.0,197.0,48279,43.75,45.75,8.0,350.0,06083,232.99,118.14,83.0,19338.0,36053,55.67,419.33,3.0,167.0
2000,41,061,41061,79.81,52.27,285,22747,22095,91.25,62.5,4.0,365.0,22095,68.59,47.38,167.0,11455.0,17141,166.0,80.0,2.0,332.0,37041,98.37,67.48,153.0,15051.0,01003,105.74,80.8,35.0,3701.0,20NA ,29.94,32.81,47.0,1407.0,51820,73.0,31.0,1.0,73.0,06097,110.5,978.0,30.0,3315.0
