year,state,county,fips,loan_average_orig,income_average_orig,count_orig,value_orig,native_loan_average_orig,native_income_average_orig,native_count_orig,native_value_orig,black_loan_average_orig,black_income_average_orig,black_count_orig,black_value_orig,asian_loan_average_orig,asian_income_average_orig,asian_count_orig,asian_value_orig,white_loan_average_orig,white_income_average_orig,white_count_orig,white_value_orig,hawaiian_loan_average_orig,hawaiian_income_average_orig,hawaiian_count_orig,hawaiian_value_orig,not_applicable_loan_average_orig,not_applicable_income_average_orig,not_applicable_count_orig,not_applicable_value_orig,not_provided_loan_average_orig,not_provided_income_average_orig,not_provided_count_orig,not_provided_value_orig,no_co_app_loan_average_orig,no_co_app_income_average_orig,no_co_app_count_orig,no_co_app_value_orig
2012,13,077,13077,161.59,94.16,3258,526475,122.78,60.0,9.0,1105.0,138.96,68.04,115.0,15980.0,166.02,83.02,44.0,7305.0,161.74,94.86,2767.0,447547.0,136.33,147.83,6.0,818.0,,,,,169.46,99.06,317.0,53720.0,,,,
2012,46,107,46107,75.57,71.63,30,2267,,,,,,,,,,,,,76.78,72.7,27.0,2073.0,,,,,,,,,64.67,62.0,3.0,194.0,,,,
2012,05,003,05003,91.53,85.62,167,15285,,,,,65.17,53.0,6.0,391.0,,,,,91.59,86.58,158.0,14471.0,,,,,,,,,141.0,100.0,3.0,423.0,,,,
2012,39,167,39167,111.27,83.71,1158,128856,,,,,98.63,94.0,8.0,789.0,303.5,380.0,4.0,1214.0,109.99,81.35,1103.0,121314.0,,,,,96.57,79.14,7.0,676.0,135.08,121.81,36.0,4863.0,,,,
2012,51,131,51131,215.17,134.52,215,46262,,,,,136.31,121.62,13.0,1772.0,410.0,242.0,1.0,410.0,213.37,130.54,175.0,37340.0,69.0,114.0,1.0,69.0,,,,,266.84,165.64,25.0,6671.0,,,,
2012,30,097,30097,185.12,88.26,65,12033,172.0,76.0,1.0,172.0,,,,,,,,,184.05,88.7,63.0,11595.0,,,,,,,,,266.0,73.0,1.0,266.0,,,,
2012,37,005,37005,155.72,131.98,259,40332,348.0,100.0,1.0,348.0,40.0,152.0,1.0,40.0,188.0,126.0,2.0,376.0,153.4,129.89,245.0,37584.0,,,,,,,,,198.4,185.5,10.0,1984.0,,,,
2012,02,050,02050,224.77,135.64,61,13711,251.75,169.5,12.0,3021.0,,,,,98.0,66.0,1.0,98.0,197.11,135.75,28.0,5519.0,212.0,87.0,1.0,212.0,,,,,255.84,120.32,19.0,4861.0,,,,
2012,19,109,19109,117.55,77.35,288,33855,,,,,,,,,152.0,84.0,1.0,152.0,119.43,78.67,272.0,32486.0,,,,,,,,,81.13,53.0,15.0,1217.0,,,,
2012,42,083,42083,76.11,78.75,408,31051,,,,,,,,,75.0,91.0,1.0,75.0,75.76,78.14,387.0,29321.0,80.0,96.0,1.0,80.0,,,,,82.89,89.47,19.0,1575.0,,,,
2012,26,025,26025,113.69,86.44,2434,276723,81.5,69.38,8.0,652.0,105.88,82.2,50.0,5294.0,108.5,84.16,38.0,4123.0,113.6,83.5,2226.0,252876.0,151.0,92.33,3.0,453.0,,,,,122.25,150.31,109.0,13325.0,,,,
2012,48,283,48283,57.23,71.55,22,1259,44.0,40.0,1.0,44.0,,,,,,,,,65.13,82.53,15.0,977.0,,,,,,,,,39.67,49.33,6.0,238.0,,,,
2012,40,079,40079,97.05,81.49,460,44642,70.76,76.14,21.0,1486.0,54.75,49.0,4.0,219.0,,,,,97.27,81.42,423.0,41144.0,,,,,180.0,89.0,1.0,180.0,146.64,105.27,11.0,1613.0,,,,
2012,48,415,48415,114.69,98.15,91,10437,,,,,,,,,,,,,112.58,97.62,81.0,9119.0,,,,,,,,,131.8,102.5,10.0,1318.0,,,,
2012,48,467,48467,122.69,92.19,458,56190,121.0,253.0,1.0,121.0,157.4,73.8,5.0,787.0,77.0,26.0,1.0,77.0,119.53,90.88,397.0,47454.0,87.0,27.0,1.0,87.0,,,,,144.6,103.25,53.0,7664.0,,,,
2012,17,087,17087,111.21,110.56,136,15124,109.0,187.0,1.0,109.0,134.0,61.0,1.0,134.0,,,,,110.5,97.31,131.0,14475.0,,,,,,,,,135.33,680.33,3.0,406.0,,,,
2012,42,071,42071,157.37,92.78,11118,1749633,193.44,103.89,9.0,1741.0,121.78,92.6,96.0,11691.0,172.99,110.56,176.0,30446.0,157.27,92.12,10139.0,1594530.0,173.45,120.64,11.0,1908.0,205.0,111.0,1.0,205.0,159.06,97.39,686.0,109112.0,,,,
2012,16,055,16055,183.68,108.73,4082,749763,156.44,114.25,16.0,2503.0,,,,,169.86,88.77,22.0,3737.0,185.04,108.36,3672.0,679475.0,208.0,100.33,3.0,624.0,521.4,131.0,5.0,2607.0,167.08,113.15,364.0,60817.0,,,,
2012,19,031,19031,130.07,83.31,489,63606,,,,,,,,,108.0,51.0,1.0,108.0,130.42,82.82,466.0,60776.0,,,,,,,,,123.73,95.23,22.0,2722.0,,,,
2012,18,093,18093,110.1,76.61,458,50428,81.0,23.5,2.0,162.0,,,,,179.5,75.5,2.0,359.0,110.19,76.7,436.0,48045.0,,,,,,,,,103.44,80.44,18.0,1862.0,,,,
2012,26,035,26035,96.04,87.52,502,48211,,,,,,,,,,,,,94.11,81.56,452.0,42538.0,,,,,,,,,113.46,141.42,50.0,5673.0,,,,
2012,23,019,23019,123.42,89.58,2533,312628,121.0,61.83,6.0,726.0,149.75,87.25,4.0,599.0,160.42,125.68,19.0,3048.0,122.19,88.78,2388.0,291788.0,73.25,34.25,4.0,293.0,,,,,144.41,104.07,112.0,16174.0,,,,
2012,40,107,40107,64.86,64.74,178,11545,76.83,69.83,12.0,922.0,28.5,70.67,6.0,171.0,,,,,64.92,64.19,156.0,10128.0,47.0,85.0,1.0,47.0,,,,,92.33,54.33,3.0,277.0,,,,
2012,51,141,51141,115.71,71.48,191,22101,113.0,148.0,2.0,226.0,44.0,23.0,1.0,44.0,,,,,115.45,68.87,180.0,20781.0,,,,,,,,,131.25,117.0,8.0,1050.0,,,,
2012,12,111,12111,142.6,91.1,5117,729692,113.5,96.38,8.0,908.0,137.04,76.9,397.0,54406.0,143.22,99.31,97.0,13892.0,142.04,91.77,4110.0,583787.0,128.55,69.73,11.0,1414.0,,,,,152.4,95.73,494.0,75285.0,,,,
2012,45,047,45047,150.66,95.89,933,140570,76.67,76.67,3.0,230.0,104.89,62.21,61.0,6398.0,114.11,92.0,9.0,1027.0,155.72,98.8,810.0,126134.0,186.0,79.0,2.0,372.0,,,,,133.52,92.1,48.0,6409.0,,,,
2012,37,193,37193,128.43,77.67,878,112763,,,,,79.4,79.1,10.0,794.0,118.5,39.0,2.0,237.0,128.83,76.85,835.0,107576.0,222.0,113.0,1.0,222.0,,,,,131.13,101.37,30.0,3934.0,,,,
