year,state,county,fips,loan_average_app,income_average_app,count_app,value_app,native_loan_average_app,native_income_average_app,native_count_app,native_value_app,black_loan_average_app,black_income_average_app,black_count_app,black_value_app,asian_loan_average_app,asian_income_average_app,asian_count_app,asian_value_app,white_loan_average_app,white_income_average_app,white_count_app,white_value_app,hawaiian_loan_average_app,hawaiian_income_average_app,hawaiian_count_app,hawaiian_value_app
2000,16,005,16005,74.65,50.48,3123,233128,48.67,34.51,43.0,2093.0,107.71,56.0,7.0,754.0,135.13,96.53,15.0,2027.0,79.34,52.25,2303.0,182723.0,71.92,44.95,60.0,4315.0
2000,48,315,48315,46.09,45.3,369,17008,49.0,24.0,1.0,49.0,42.45,32.3,56.0,2377.0,,,,,50.83,54.36,186.0,9454.0,67.25,46.25,4.0,269.0
2000,36,083,36083,76.43,56.79,4623,353337,71.12,41.12,25.0,1778.0,80.08,52.26,77.0,6166.0,108.82,92.24,33.0,3591.0,80.92,57.97,3068.0,248257.0,83.21,57.1,29.0,2413.0
2000,39,135,39135,75.34,48.2,2514,189401,78.43,33.0,7.0,549.0,66.0,55.71,14.0,924.0,,,,,76.57,48.12,1675.0,128259.0,116.75,63.38,8.0,934.0
2000,55,107,55107,58.13,48.84,473,27494,191.5,167.5,2.0,383.0,54.5,37.0,2.0,109.0,,,,,58.18,50.97,331.0,19259.0,41.0,31.0,2.0,82.0
2000,13,027,13027,47.65,35.34,713,33971,38.0,24.33,3.0,114.0,43.83,34.3,231.0,10125.0,,,,,53.29,38.8,270.0,14388.0,29.0,39.67,9.0,261.0
2000,20,099,20099,40.34,39.79,425,17145,36.4,35.2,5.0,182.0,29.67,36.08,12.0,356.0,77.71,49.57,7.0,544.0,42.7,41.97,221.0,9436.0,28.0,42.5,6.0,168.0
2000,47,185,47185,54.24,38.37,1204,65310,33.83,27.5,6.0,203.0,66.94,30.31,16.0,1071.0,112.0,57.0,1.0,112.0,53.96,38.88,831.0,44840.0,43.5,27.17,6.0,261.0
2000,29,045,29045,38.21,35.96,76,2904,,,,,,,,,,,,,37.43,37.0,47.0,1759.0,36.0,44.0,1.0,36.0
2000,19,115,19115,50.87,42.84,236,12006,,,,,,,,,,,,,51.49,39.61,129.0,6642.0,56.11,34.78,9.0,505.0
