year,state,county,fips,loan_average_app,income_average_app,count_app,value_app,native_loan_average_app,native_income_average_app,native_count_app,native_value_app,black_loan_average_app,black_income_average_app,black_count_app,black_value_app,asian_loan_average_app,asian_income_average_app,asian_count_app,asian_value_app,white_loan_average_app,white_income_average_app,white_count_app,white_value_app,hawaiian_loan_average_app,hawaiian_income_average_app,hawaiian_count_app,hawaiian_value_app,not_applicable_loan_average_app,not_applicable_income_average_app,not_applicable_count_app,not_applicable_value_app,not_provided_loan_average_app,not_provided_income_average_app,not_provided_count_app,not_provided_value_app,no_co_app_loan_average_app,no_co_app_income_average_app,no_co_app_count_app,no_co_app_value_app
2004,12,111,12111,133.66,75.28,33708,4505464,120.24,71.4,223.0,26813.0,125.65,62.65,3509.0,440908.0,148.47,87.75,511.0,75867.0,136.6,78.97,22641.0,3092731.0,132.52,66.07,241.0,31938.0,138.63,76.9,647.0,89696.0,125.93,67.95,5936.0,747511.0,,,,
2004,42,071,42071,115.88,73.11,33578,3891129,101.14,92.2,237.0,23970.0,96.0,65.46,739.0,70944.0,118.98,75.79,449.0,53423.0,116.9,73.86,26475.0,3094972.0,104.0,56.62,60.0,6240.0,121.23,89.72,234.0,28368.0,113.9,68.84,5384.0,613212.0,,,,
2004,17,087,17087,82.63,58.76,447,36937,47.25,54.75,4.0,189.0,156.0,100.0,1.0,156.0,,,,,80.5,59.3,359.0,28901.0,,,,,57.5,59.5,2.0,115.0,93.53,56.07,81.0,7576.0,,,,
2004,48,467,48467,87.4,66.0,2383,208268,82.69,47.75,16.0,1323.0,73.34,67.72,50.0,3667.0,81.57,98.57,7.0,571.0,88.4,66.16,1899.0,167872.0,76.43,43.0,7.0,535.0,68.04,63.68,25.0,1701.0,86.01,65.74,379.0,32599.0,,,,
2004,40,079,40079,64.36,48.87,2206,141988,62.57,51.45,112.0,7008.0,57.0,40.38,47.0,2679.0,60.2,50.6,5.0,301.0,64.0,48.81,1741.0,111418.0,46.0,46.33,3.0,138.0,71.78,45.11,9.0,646.0,68.51,49.7,289.0,19798.0,,,,
2004,19,031,19031,94.71,58.09,1212,114785,71.0,41.17,6.0,426.0,61.5,43.0,2.0,123.0,106.0,53.0,1.0,106.0,95.37,58.95,1039.0,99085.0,,,,,97.5,49.19,16.0,1560.0,91.11,53.94,148.0,13485.0,,,,
2004,16,055,16055,131.62,82.03,14310,1883454,124.62,65.25,93.0,11590.0,141.79,92.04,24.0,3403.0,111.62,96.03,65.0,7255.0,132.49,81.8,12073.0,1599610.0,131.15,76.97,33.0,4328.0,139.77,81.91,345.0,48219.0,124.66,83.99,1677.0,209049.0,,,,
2004,26,025,26025,95.77,60.84,12243,1172503,78.58,44.66,62.0,4872.0,77.41,53.18,985.0,76249.0,126.92,73.42,78.0,9900.0,97.88,61.92,9195.0,900041.0,85.93,51.48,27.0,2320.0,96.28,61.52,86.0,8280.0,94.39,59.64,1810.0,170841.0,,,,
2004,19,109,19109,72.94,49.92,585,42672,50.5,34.5,2.0,101.0,,,,,,,,,73.26,50.25,514.0,37658.0,,,,,62.5,32.5,2.0,125.0,71.46,48.31,67.0,4788.0,,,,
2004,37,005,37005,117.11,92.24,650,76124,78.0,54.67,3.0,234.0,72.73,33.0,11.0,800.0,,,,,116.49,91.02,533.0,62089.0,150.0,71.0,2.0,300.0,141.0,91.0,9.0,1269.0,124.26,108.18,92.0,11432.0,,,,
2004,72,007,72007,104.65,55.75,506,52952,84.54,47.06,35.0,2959.0,107.56,51.48,27.0,2904.0,296.0,115.0,1.0,296.0,107.36,57.39,297.0,31885.0,,,,,97.93,50.3,67.0,6561.0,105.66,58.73,79.0,8347.0,,,,
2004,46,129,46129,63.16,81.19,208,13138,40.0,63.5,2.0,80.0,,,,,,,,,64.3,86.14,185.0,11896.0,,,,,64.2,41.0,5.0,321.0,52.56,38.75,16.0,841.0,,,,
2004,23,003,23003,69.43,55.59,2631,182675,50.28,43.9,29.0,1458.0,53.14,37.29,7.0,372.0,129.13,74.88,8.0,1033.0,70.41,56.11,2152.0,151519.0,58.5,52.5,8.0,468.0,66.11,65.33,18.0,1190.0,65.12,53.26,409.0,26635.0,,,,
2004,05,053,05053,79.49,61.52,887,70512,55.6,44.6,10.0,556.0,49.19,30.19,16.0,787.0,63.0,55.0,1.0,63.0,79.35,61.34,733.0,58166.0,81.0,44.4,5.0,405.0,87.0,55.33,9.0,783.0,86.3,69.89,113.0,9752.0,,,,
2004,47,181,47181,79.26,54.09,405,32101,42.5,40.83,6.0,255.0,61.25,23.25,4.0,245.0,52.33,22.0,3.0,157.0,79.88,54.18,328.0,26201.0,,,,,61.75,52.25,4.0,247.0,83.27,58.67,60.0,4996.0,,,,
2004,46,097,46097,75.2,64.59,49,3685,,,,,22.0,26.0,2.0,44.0,,,,,74.34,69.24,41.0,3048.0,,,,,,,,,98.83,45.67,6.0,593.0,,,,
2004,36,093,36093,99.87,67.94,10601,1058739,87.43,62.31,81.0,7082.0,77.01,54.84,430.0,33113.0,95.7,65.14,381.0,36460.0,102.55,69.29,7424.0,761322.0,88.35,57.27,79.0,6980.0,80.53,58.55,88.0,7087.0,97.59,67.38,2118.0,206695.0,,,,
2004,01,013,01013,64.52,49.74,970,62581,80.8,40.4,5.0,404.0,53.65,34.87,251.0,13465.0,143.4,56.4,5.0,717.0,64.35,54.34,576.0,37066.0,,,,,73.3,40.1,10.0,733.0,82.89,59.42,123.0,10196.0,,,,
2004,40,129,40129,56.74,46.0,54,3064,34.0,18.0,1.0,34.0,,,,,,,,,56.8,44.5,40.0,2272.0,,,,,62.0,61.0,1.0,62.0,58.0,52.08,12.0,696.0,,,,
2004,42,121,42121,63.65,51.03,3177,202214,62.8,80.2,5.0,314.0,47.2,56.1,10.0,472.0,86.4,105.0,5.0,432.0,63.32,50.4,2644.0,167418.0,61.0,52.0,4.0,244.0,74.67,120.67,12.0,896.0,65.27,51.75,497.0,32438.0,,,,
2004,47,187,47187,211.32,109.94,15233,3219031,210.27,97.53,55.0,11565.0,196.39,126.19,683.0,134135.0,230.4,116.47,282.0,64973.0,209.87,108.69,11667.0,2448510.0,154.88,78.96,24.0,3717.0,294.88,131.88,362.0,106747.0,208.05,107.67,2160.0,449384.0,,,,
2004,40,097,40097,77.93,59.62,1992,155229,71.41,47.81,158.0,11282.0,69.5,50.07,14.0,973.0,,,,,77.91,61.47,1514.0,117959.0,60.0,38.91,11.0,660.0,94.11,68.37,19.0,1788.0,81.76,56.95,276.0,22567.0,,,,
2004,22,095,22095,98.5,61.16,3804,374675,86.28,51.38,29.0,2502.0,94.86,58.61,1278.0,121236.0,123.21,61.28,29.0,3573.0,102.95,64.67,1605.0,165230.0,126.86,77.57,7.0,888.0,94.41,63.84,32.0,3021.0,94.93,58.39,824.0,78225.0,,,,
2004,12,049,12049,84.96,63.14,670,56924,90.57,203.43,14.0,1268.0,78.8,53.25,20.0,1576.0,92.5,57.7,10.0,925.0,88.54,54.47,446.0,39488.0,68.0,29.0,3.0,204.0,83.9,56.7,10.0,839.0,75.59,77.04,167.0,12624.0,,,,
2004,46,107,46107,65.1,71.27,41,2669,,,,,,,,,,,,,66.3,73.81,37.0,2453.0,,,,,,,,,54.0,47.75,4.0,216.0,,,,
2004,13,077,13077,133.99,76.61,10736,1438533,131.2,74.23,40.0,5248.0,122.26,63.91,1272.0,155510.0,153.38,82.19,77.0,11810.0,135.91,79.89,7238.0,983686.0,118.09,51.55,22.0,2598.0,130.4,76.53,199.0,25949.0,134.39,72.7,1888.0,253732.0,,,,
2004,17,113,17113,113.67,79.3,10283,1168831,88.06,63.78,50.0,4403.0,115.77,73.32,441.0,51055.0,142.03,83.92,197.0,27980.0,113.87,80.05,8231.0,937257.0,139.83,96.94,18.0,2517.0,100.26,86.79,87.0,8723.0,108.73,75.67,1259.0,136896.0,,,,
2004,13,315,13315,77.51,55.68,129,9999,44.0,25.0,1.0,44.0,53.56,37.06,16.0,857.0,,,,,78.57,60.57,82.0,6443.0,36.0,38.0,1.0,36.0,,,,,90.31,53.79,29.0,2619.0,,,,
2004,26,117,26117,95.47,56.52,5397,515249,78.89,48.06,36.0,2840.0,81.93,43.9,40.0,3277.0,83.5,55.6,10.0,835.0,94.94,56.05,4411.0,418789.0,52.0,60.25,4.0,208.0,94.56,51.15,39.0,3688.0,99.9,60.09,857.0,85612.0,,,,
2004,05,003,05003,65.16,50.23,575,37469,47.0,36.2,5.0,235.0,54.45,41.0,93.0,5064.0,82.0,103.0,1.0,82.0,67.67,52.57,353.0,23887.0,32.0,43.0,6.0,192.0,102.33,66.33,3.0,307.0,67.56,50.65,114.0,7702.0,,,,
2004,39,167,39167,86.65,56.85,3751,325024,88.31,120.69,16.0,1413.0,108.68,50.61,31.0,3369.0,126.0,64.78,9.0,1134.0,84.68,55.52,3228.0,273362.0,71.5,52.5,4.0,286.0,90.23,109.96,26.0,2346.0,98.66,61.49,437.0,43114.0,,,,
2004,01,017,01017,75.71,50.4,1754,132793,67.5,39.17,6.0,405.0,63.26,39.47,429.0,27138.0,137.5,128.0,8.0,1100.0,78.88,52.7,1008.0,79516.0,158.0,47.0,2.0,316.0,87.0,62.55,20.0,1740.0,80.35,56.04,281.0,22578.0,,,,
2004,49,041,49041,94.42,55.97,1330,125579,71.07,44.87,15.0,1066.0,71.4,58.2,5.0,357.0,121.4,48.0,5.0,607.0,95.09,56.27,1144.0,108780.0,49.0,14.0,1.0,49.0,88.0,51.36,14.0,1232.0,92.38,55.73,146.0,13488.0,,,,
2004,48,495,48495,43.84,56.98,161,7058,50.0,24.0,1.0,50.0,35.25,31.5,4.0,141.0,,,,,43.23,60.38,111.0,4799.0,,,,,19.0,34.0,1.0,19.0,46.57,51.98,44.0,2049.0,,,,
2004,28,047,28047,103.26,75.17,12159,1255554,89.23,57.93,44.0,3926.0,81.21,55.49,1392.0,113048.0,100.0,90.02,256.0,25600.0,109.0,77.84,7499.0,817369.0,86.85,75.65,20.0,1737.0,91.53,157.58,139.0,12722.0,100.09,72.66,2809.0,281152.0,,,,
2004,51,061,51061,236.93,103.1,7592,1798789,238.57,93.04,46.0,10974.0,200.03,78.62,390.0,78013.0,216.89,102.99,80.0,17351.0,242.68,105.53,5368.0,1302708.0,168.88,80.63,16.0,2702.0,218.06,105.78,281.0,61274.0,230.88,100.72,1411.0,325767.0,,,,
2004,46,079,46079,96.78,74.14,527,51002,91.0,76.0,5.0,455.0,73.0,79.0,1.0,73.0,,,,,98.63,76.52,458.0,45174.0,,,,,68.44,52.0,9.0,616.0,86.74,57.43,54.0,4684.0,,,,
2004,48,497,48497,99.44,73.41,3704,368331,70.7,54.09,43.0,3040.0,137.89,103.67,18.0,2482.0,83.77,88.86,22.0,1843.0,99.18,71.42,2906.0,288212.0,81.71,58.24,17.0,1389.0,108.26,97.66,47.0,5088.0,101.81,80.85,651.0,66277.0,,,,
2004,31,181,31181,58.36,62.8,96,5603,76.0,37.0,1.0,76.0,,,,,,,,,58.65,63.35,81.0,4751.0,,,,,,,,,55.43,61.5,14.0,776.0,,,,
2004,51,009,51009,93.88,56.97,2240,210290,75.22,44.74,23.0,1730.0,76.06,47.53,398.0,30270.0,92.0,51.33,3.0,276.0,98.46,59.2,1477.0,145421.0,90.0,87.0,1.0,90.0,90.74,63.45,31.0,2813.0,96.71,58.73,307.0,29690.0,,,,
2004,18,017,18017,77.5,52.77,2467,191201,68.0,45.62,13.0,884.0,70.62,43.0,13.0,918.0,67.4,37.0,5.0,337.0,78.29,53.47,2093.0,163851.0,58.33,37.67,3.0,175.0,74.92,37.08,12.0,899.0,73.59,49.94,328.0,24137.0,,,,
2004,19,101,19101,93.04,68.51,569,52941,67.5,50.0,2.0,135.0,76.36,84.91,11.0,840.0,78.0,100.0,1.0,78.0,89.29,61.47,453.0,40447.0,,,,,73.0,56.4,5.0,365.0,114.19,100.2,97.0,11076.0,,,,
2004,29,173,29173,85.58,53.82,504,43130,121.4,23.0,5.0,607.0,116.17,43.83,6.0,697.0,,,,,84.25,55.6,366.0,30835.0,,,,,105.67,143.67,3.0,317.0,86.08,48.12,124.0,10674.0,,,,
2004,50,025,50025,150.2,138.58,2558,384222,167.91,88.82,11.0,1847.0,147.77,86.69,13.0,1921.0,181.5,225.58,12.0,2178.0,151.53,140.61,1960.0,297001.0,156.67,227.5,6.0,940.0,203.16,205.97,31.0,6298.0,141.02,126.31,525.0,74037.0,,,,
2004,51,095,51095,186.08,97.01,5701,1060826,185.78,87.44,27.0,5016.0,126.29,102.47,486.0,61379.0,210.48,97.22,64.0,13471.0,193.56,97.79,4048.0,783530.0,230.38,108.88,8.0,1843.0,237.8,114.48,176.0,41853.0,172.35,87.22,892.0,153734.0,,,,
2004,05,127,05127,62.32,51.57,244,15206,37.0,18.0,1.0,37.0,54.0,36.0,1.0,54.0,54.25,114.0,4.0,217.0,62.27,45.98,199.0,12392.0,,,,,64.0,1000.0,1.0,64.0,64.26,50.61,38.0,2442.0,,,,
2004,29,195,29195,69.61,56.62,1248,86877,65.77,41.46,13.0,855.0,66.03,35.37,35.0,2311.0,87.57,41.43,7.0,613.0,69.1,57.2,1028.0,71031.0,55.33,45.0,3.0,166.0,54.17,171.25,12.0,650.0,75.01,50.69,150.0,11251.0,,,,
2004,54,011,54011,83.1,59.3,5140,427135,78.61,53.86,28.0,2201.0,61.17,46.01,140.0,8564.0,118.15,121.9,20.0,2363.0,83.37,59.34,4483.0,373737.0,167.83,152.0,6.0,1007.0,69.53,53.1,30.0,2086.0,85.86,59.79,433.0,37177.0,,,,
2004,17,165,17165,63.57,51.48,691,43927,57.0,60.5,2.0,114.0,73.06,57.53,17.0,1242.0,62.0,13.0,1.0,62.0,62.69,51.29,572.0,35857.0,,,,,65.0,27.6,5.0,325.0,67.31,53.06,94.0,6327.0,,,,
2004,37,105,37105,98.29,62.98,3193,313849,83.66,62.66,29.0,2426.0,79.21,47.76,511.0,40476.0,146.86,122.72,29.0,4259.0,101.68,66.68,2117.0,215249.0,63.53,68.73,15.0,953.0,100.95,62.93,41.0,4139.0,102.76,58.87,451.0,46347.0,,,,
